                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.2249,                0.83666,                 1.1462,                0.91752,                0.81025,                0.87204,                0.56251,                 1.2557,                0.86908,                  1.162,              0.0010263,              0.0010263,              0.0010263
                     79,                 1.1619,                0.81874,                 1.1044,                0.94843,                0.83242,                  0.883,                0.52097,                 1.4319,                0.87897,                 1.2552,              0.0010252,              0.0010252,              0.0010252
                     80,                 1.2245,                 0.8533,                  1.147,                0.82259,                0.86473,                0.87297,                0.53516,                  1.348,                0.82313,                 1.1934,              0.0010241,              0.0010241,              0.0010241
                     81,                 1.1547,                0.79807,                 1.1065,                0.90227,                0.76469,                0.87077,                 0.5421,                 1.3512,                 0.8958,                 1.1641,               0.001023,               0.001023,               0.001023
                     82,                 1.2469,                0.85231,                 1.2011,                 0.8255,                0.85094,                0.87856,                0.53317,                 1.4179,                0.84955,                 1.2002,              0.0010219,              0.0010219,              0.0010219
                     83,                 1.2045,                0.81253,                 1.1687,                0.83598,                0.83774,                 0.8577,                0.53756,                 1.3967,                 0.9278,                 1.2452,              0.0010208,              0.0010208,              0.0010208
                     84,                 1.2146,                0.80021,                  1.136,                0.91396,                0.80568,                0.90012,                0.56904,                 1.2332,                0.86931,                 1.1321,              0.0010197,              0.0010197,              0.0010197
                     85,                 1.1877,                0.80016,                 1.1499,                0.91784,                0.83518,                0.88519,                0.56043,                 1.2672,                0.85669,                 1.1676,              0.0010186,              0.0010186,              0.0010186
                     86,                 1.1405,                0.77125,                 1.1231,                0.88938,                 0.8374,                0.85695,                0.52264,                 1.3183,                0.86728,                 1.1806,              0.0010175,              0.0010175,              0.0010175
                     87,                 1.1344,                0.76769,                 1.1241,                0.91223,                0.79753,                0.88119,                0.52697,                 1.3971,                0.81668,                 1.1982,              0.0010164,              0.0010164,              0.0010164
                     88,                 1.2259,                0.81287,                 1.1654,                0.88627,                0.78469,                0.85838,                0.53492,                 1.3569,                0.93677,                 1.1894,              0.0010153,              0.0010153,              0.0010153
                     89,                 1.1843,                0.80716,                 1.1642,                0.84364,                0.83265,                0.87564,                0.54618,                 1.3016,                0.84854,                 1.1908,              0.0010142,              0.0010142,              0.0010142
                     90,                 1.1908,                0.81607,                 1.1274,                0.90223,                0.77358,                0.87744,                0.52676,                 1.3904,                0.97446,                 1.2145,              0.0010131,              0.0010131,              0.0010131
                     91,                 1.1664,                0.80091,                   1.15,                0.96762,                0.78129,                0.87298,                0.57899,                 1.2638,                0.83889,                 1.1377,               0.001012,               0.001012,               0.001012
                     92,                 1.1491,                0.79779,                 1.1332,                 0.9295,                0.80859,                0.88547,                0.56955,                 1.2092,                 0.8074,                 1.1366,              0.0010109,              0.0010109,              0.0010109
                     93,                 1.1472,                0.76953,                 1.1296,                0.88868,                0.82562,                0.89411,                0.56557,                 1.2594,                0.83315,                  1.143,              0.0010098,              0.0010098,              0.0010098
                     94,                 1.2234,                0.81361,                  1.161,                0.89721,                0.82692,                0.90036,                0.57683,                 1.2119,                0.76815,                 1.1543,              0.0010087,              0.0010087,              0.0010087
                     95,                 1.1855,                0.80544,                 1.1332,                0.90428,                0.77576,                0.88133,                0.52669,                 1.1986,                0.85671,                 1.1521,              0.0010076,              0.0010076,              0.0010076
                     96,                 1.1808,                0.76821,                 1.1219,                0.90847,                0.82273,                0.89157,                0.54333,                 1.3485,                0.87489,                   1.17,              0.0010065,              0.0010065,              0.0010065
                     97,                 1.1373,                0.76497,                  1.124,                0.85297,                0.82073,                0.87049,                0.55688,                 1.2705,                0.85107,                 1.1079,              0.0010054,              0.0010054,              0.0010054
                     98,                 1.1939,                 0.7677,                 1.1148,                0.88143,                0.80125,                0.88931,                0.56236,                 1.2158,                0.79601,                 1.1368,              0.0010043,              0.0010043,              0.0010043
                     99,                 1.1385,                0.80026,                 1.1125,                 0.8689,                0.75575,                0.86235,                 0.5504,                 1.3224,                0.85589,                  1.147,              0.0010032,              0.0010032,              0.0010032
                    100,                 1.1565,                0.78192,                  1.157,                0.86195,                0.85115,                0.88885,                0.57816,                  1.265,                0.77769,                 1.1651,              0.0010021,              0.0010021,              0.0010021
                    101,                 1.1036,                0.72985,                 1.1138,                0.92201,                0.78646,                0.88532,                0.56017,                  1.327,                 0.7484,                 1.1697,               0.001001,               0.001001,               0.001001
                    102,                 1.2129,                0.81316,                 1.1231,                0.91518,                0.79429,                0.86959,                0.54287,                 1.3322,                0.82255,                 1.1782,             0.00099991,             0.00099991,             0.00099991
                    103,                 1.1567,                0.76341,                 1.1379,                0.92227,                0.81965,                0.89037,                0.53748,                 1.3251,                0.79407,                 1.1639,             0.00099881,             0.00099881,             0.00099881
                    104,                 1.1473,                0.75282,                 1.1163,                0.83895,                0.85929,                0.86889,                  0.539,                 1.3636,                0.82074,                 1.1668,             0.00099771,             0.00099771,             0.00099771
                    105,                 1.1666,                0.78824,                 1.1648,                0.94414,                0.79131,                0.87676,                0.57021,                 1.2544,                0.80536,                  1.133,             0.00099661,             0.00099661,             0.00099661
                    106,                 1.1691,                0.74703,                 1.1192,                0.80815,                0.86655,                 0.8928,                0.53582,                 1.3564,                0.88202,                 1.2006,             0.00099551,             0.00099551,             0.00099551
                    107,                 1.1446,                 0.7382,                 1.1149,                0.87996,                0.83237,                0.89668,                0.54732,                 1.3066,                0.81113,                 1.1394,             0.00099441,             0.00099441,             0.00099441
                    108,                 1.0979,                0.74078,                 1.0942,                0.91914,                0.76539,                0.87121,                0.55062,                 1.3401,                0.80899,                 1.1429,             0.00099331,             0.00099331,             0.00099331
                    109,                 1.0524,                 0.7012,                 1.0764,                0.92006,                0.83937,                0.87785,                0.56501,                 1.1907,                0.72485,                 1.0957,             0.00099221,             0.00099221,             0.00099221
                    110,                 1.0756,                0.69638,                 1.0639,                0.87021,                0.81627,                0.84703,                0.54896,                 1.1484,                0.91677,                  1.092,             0.00099111,             0.00099111,             0.00099111
                    111,                 1.0904,                0.69418,                  1.082,                0.84522,                 0.8108,                0.86915,                 0.5546,                 1.1705,                 0.8432,                 1.0893,             0.00099001,             0.00099001,             0.00099001
                    112,                 1.1093,                0.73545,                 1.0664,                 0.9231,                0.81738,                0.88432,                0.58683,                  1.199,                0.77602,                 1.1185,             0.00098891,             0.00098891,             0.00098891
                    113,                 1.0993,                0.73355,                 1.1089,                  0.945,                0.79212,                0.87793,                0.56454,                 1.1752,                0.74969,                 1.1006,             0.00098781,             0.00098781,             0.00098781
                    114,                 1.0898,                0.73048,                 1.0665,                 0.8952,                0.83359,                0.88834,                0.56567,                 1.2169,                0.80029,                 1.1209,             0.00098671,             0.00098671,             0.00098671
                    115,                 1.0457,                0.68604,                 1.0647,                0.87472,                 0.8411,                0.88113,                0.55156,                 1.2908,                0.77368,                 1.1405,             0.00098561,             0.00098561,             0.00098561
                    116,                 1.0925,                0.70777,                 1.0957,                0.89986,                0.83734,                0.88325,                0.57795,                 1.2293,                0.76095,                 1.1041,             0.00098451,             0.00098451,             0.00098451
                    117,                 1.0647,                0.70542,                 1.0683,                 0.9076,                0.82272,                0.87299,                0.53157,                 1.3105,                0.79542,                 1.1471,             0.00098341,             0.00098341,             0.00098341
                    118,                 1.0006,                0.64903,                 1.0684,                0.95691,                0.84893,                0.88356,                0.55467,                 1.2575,                0.74635,                 1.1473,             0.00098231,             0.00098231,             0.00098231
                    119,                 1.0935,                0.72424,                 1.1204,                0.88078,                0.86068,                0.87141,                0.55798,                 1.3087,                0.80817,                 1.1279,             0.00098121,             0.00098121,             0.00098121
                    120,                 1.0388,                0.68911,                 1.0565,                0.92335,                0.86495,                0.92181,                0.59444,                 1.2003,                0.76724,                 1.0858,             0.00098011,             0.00098011,             0.00098011
                    121,                 1.0594,                0.66989,                 1.0568,                0.95794,                0.83676,                0.92579,                0.61721,                 1.1695,                0.69866,                 1.0693,             0.00097901,             0.00097901,             0.00097901
                    122,                 1.0739,                0.67231,                 1.0854,                 0.9252,                0.85264,                0.91194,                0.58588,                 1.2428,                0.71757,                 1.0959,             0.00097791,             0.00097791,             0.00097791
                    123,                 1.0511,                 0.6817,                  1.085,                0.93054,                0.81091,                0.88371,                0.57216,                 1.3214,                0.73895,                 1.1424,             0.00097681,             0.00097681,             0.00097681
                    124,                 1.0284,                0.68151,                 1.0631,                0.93846,                0.86581,                0.90835,                0.56616,                 1.2887,                0.74295,                 1.1243,             0.00097571,             0.00097571,             0.00097571
                    125,                 1.0239,                0.66366,                 1.0546,                0.94796,                0.86866,                0.92555,                0.57606,                 1.2517,                0.74932,                 1.1081,             0.00097461,             0.00097461,             0.00097461
                    126,                 1.0246,                0.68385,                 1.0542,                0.92999,                0.85974,                0.90754,                0.59214,                  1.158,                0.68468,                 1.0762,             0.00097351,             0.00097351,             0.00097351
                    127,                 1.0666,                0.68354,                 1.0499,                0.87363,                0.81366,                0.88735,                0.59432,                 1.1508,                0.69456,                 1.0609,             0.00097241,             0.00097241,             0.00097241
                    128,                 1.0838,                0.70489,                 1.0758,                0.87616,                0.81312,                0.90158,                0.57605,                 1.1771,                 0.7785,                 1.0759,             0.00097131,             0.00097131,             0.00097131
                    129,                 1.0667,                 0.7137,                 1.0753,                 0.9313,                0.84292,                0.91136,                0.62108,                 1.1726,                0.73576,                 1.0807,             0.00097021,             0.00097021,             0.00097021
                    130,                  1.083,                0.72931,                 1.0718,                0.83415,                0.88935,                0.89046,                0.58297,                  1.125,                0.80642,                 1.0768,             0.00096911,             0.00096911,             0.00096911
                    131,                0.97965,                0.65099,                 1.0601,                0.92437,                0.86896,                0.91342,                0.60775,                 1.0991,                0.77128,                 1.0509,             0.00096801,             0.00096801,             0.00096801
                    132,                 1.0571,                0.65133,                 1.0849,                0.95798,                0.80746,                0.92182,                0.59115,                 1.2187,                 0.6646,                 1.0807,             0.00096691,             0.00096691,             0.00096691
                    133,                 1.0742,                0.66805,                 1.0685,                0.89808,                0.85564,                0.91011,                0.58003,                 1.1082,                0.74734,                 1.0558,             0.00096581,             0.00096581,             0.00096581
