                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                 1.1513,                  0.796,                 1.1259,                0.88454,                0.80854,                0.86731,                0.54415,                 1.2207,                0.77092,                 1.1295,             0.00096032,             0.00096032,             0.00096032
                    139,                 1.1712,                0.79139,                 1.1469,                0.86053,                0.81149,                 0.8643,                0.54465,                 1.2635,                0.82284,                 1.1535,             0.00095922,             0.00095922,             0.00095922
                    140,                 1.1751,                0.78983,                 1.1363,                0.87374,                 0.7282,                0.84512,                0.53462,                 1.2293,                0.90116,                  1.116,             0.00095812,             0.00095812,             0.00095812
                    141,                 1.1802,                0.80517,                 1.1165,                0.88266,                0.74669,                0.83226,                0.52485,                 1.1936,                0.76123,                 1.1226,             0.00095702,             0.00095702,             0.00095702
                    142,                 1.1764,                0.78749,                 1.1333,                0.96585,                0.68787,                 0.8347,                0.52256,                 1.3313,                0.86797,                 1.2064,             0.00095592,             0.00095592,             0.00095592
                    143,                 1.1103,                0.76949,                 1.1018,                0.81428,                0.82367,                0.84929,                0.53255,                 1.1962,                0.83171,                 1.1069,             0.00095482,             0.00095482,             0.00095482
                    144,                 1.2146,                0.82528,                 1.1605,                0.93929,                0.78124,                0.85591,                0.54246,                 1.2857,                0.83986,                 1.1547,             0.00095372,             0.00095372,             0.00095372
                    145,                 1.1385,                0.76606,                 1.1174,                0.88557,                0.76373,                0.85104,                 0.5522,                 1.1776,                0.76232,                 1.1232,             0.00095262,             0.00095262,             0.00095262
                    146,                  1.127,                0.75324,                  1.077,                0.89233,                 0.7953,                 0.8521,                0.52541,                 1.3186,                0.76092,                 1.1401,             0.00095152,             0.00095152,             0.00095152
                    147,                 1.1513,                0.75288,                 1.0905,                0.83677,                0.80945,                0.83915,                0.54209,                 1.2687,                0.77669,                 1.1217,             0.00095042,             0.00095042,             0.00095042
