                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.0605,                0.67155,                 1.0756,                0.85586,                0.81012,                0.86464,                0.54385,                 1.2411,                 0.7797,                 1.2981,              0.0010533,              0.0010533,              0.0010533
                    107,                 1.0683,                0.67147,                 1.0649,                0.93053,                0.79152,                0.90211,                0.59404,                 1.1952,                0.73776,                 1.2419,              0.0010527,              0.0010527,              0.0010527
                    108,                 1.0504,                0.65273,                 1.0948,                0.84963,                0.88713,                0.93182,                0.60172,                   1.16,                0.70538,                 1.1929,              0.0010522,              0.0010522,              0.0010522
                    109,                0.97409,                0.62822,                 1.0114,                0.92577,                 0.8536,                 0.9172,                0.58101,                 1.2495,                0.74814,                 1.2186,              0.0010516,              0.0010516,              0.0010516
                    110,                 1.0654,                0.65993,                 1.0573,                0.87006,                0.84113,                0.87604,                0.57446,                 1.1813,                0.71008,                 1.2173,              0.0010511,              0.0010511,              0.0010511
                    111,                 1.0299,                0.63232,                 1.0708,                0.94512,                0.79903,                0.87907,                0.57664,                 1.2458,                0.66632,                 1.2306,              0.0010505,              0.0010505,              0.0010505
                    112,                 1.0355,                0.62296,                 1.0567,                0.90629,                0.83498,                0.89835,                0.58511,                 1.2278,                0.71739,                 1.2667,                0.00105,                0.00105,                0.00105
                    113,                0.99529,                0.61471,                 1.0614,                0.89038,                0.88311,                0.91805,                0.60101,                 1.1315,                0.63631,                 1.2218,              0.0010494,              0.0010494,              0.0010494
                    114,                0.98763,                0.62584,                 1.0463,                0.98094,                0.83504,                0.91837,                0.60097,                 1.2154,                0.63344,                 1.2501,              0.0010489,              0.0010489,              0.0010489
                    115,                0.98147,                0.60425,                 1.0335,                0.96357,                0.88475,                0.92106,                0.61802,                 1.1443,                0.63703,                 1.2039,              0.0010483,              0.0010483,              0.0010483
                    116,                 0.9957,                0.61574,                 1.0639,                0.95147,                0.87978,                0.92412,                0.60429,                 1.1804,                0.75468,                 1.2297,              0.0010478,              0.0010478,              0.0010478
                    117,                 1.0068,                0.61602,                 1.0479,                0.89495,                0.86082,                0.90247,                0.61388,                 1.0638,                0.70588,                 1.1539,              0.0010472,              0.0010472,              0.0010472
