               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.033437,           0.0094382,            0.004364,             0.95499,              0.9043,             0.94682,             0.57151,            0.029314,           0.0068924,           0.0030429,           0.0090991,           0.0090991,           0.0090991
                  93,            0.034424,           0.0094969,           0.0039334,             0.97171,             0.90983,             0.97226,             0.57296,            0.030487,           0.0063959,           0.0034618,           0.0090892,           0.0090892,           0.0090892
                  94,            0.034958,           0.0091562,           0.0037006,             0.96339,             0.90488,             0.97266,             0.58687,            0.032721,           0.0063834,           0.0034575,           0.0090793,           0.0090793,           0.0090793
                  95,              0.0342,           0.0080302,           0.0034675,             0.89888,              0.9652,             0.96141,             0.59339,            0.029311,           0.0062555,           0.0032604,           0.0090694,           0.0090694,           0.0090694
                  96,            0.034316,           0.0094587,           0.0040778,              0.9685,             0.90132,             0.96245,             0.58586,            0.029706,           0.0063977,           0.0036163,           0.0090595,           0.0090595,           0.0090595
                  97,            0.033175,            0.008148,           0.0035167,             0.93776,             0.96342,             0.96223,             0.60819,            0.030295,           0.0066779,           0.0035967,           0.0090496,           0.0090496,           0.0090496
                  98,            0.033496,           0.0085793,           0.0043149,             0.96682,             0.88723,              0.9354,             0.53159,            0.033895,           0.0068091,           0.0035691,           0.0090397,           0.0090397,           0.0090397
                  99,            0.035256,           0.0092372,           0.0040545,             0.92153,             0.92192,             0.94036,             0.56441,            0.031547,           0.0070734,           0.0036583,           0.0090298,           0.0090298,           0.0090298
                 100,             0.03299,           0.0096084,           0.0045181,              0.8746,             0.92705,             0.94131,             0.54694,              0.0325,           0.0070679,           0.0042515,           0.0090199,           0.0090199,           0.0090199
                 101,            0.034635,           0.0094499,           0.0041933,             0.87772,             0.93572,             0.95665,               0.581,            0.030916,           0.0071777,           0.0068371,             0.00901,             0.00901,             0.00901
                 102,            0.032756,           0.0085094,           0.0038239,             0.96202,             0.91369,             0.95979,             0.60045,            0.029504,           0.0068646,           0.0040519,           0.0090001,           0.0090001,           0.0090001
                 103,            0.032152,           0.0079942,           0.0034985,             0.94779,             0.93329,              0.9646,             0.57947,            0.032643,            0.006553,           0.0047305,           0.0089902,           0.0089902,           0.0089902
                 104,            0.032941,           0.0082974,           0.0036607,             0.97161,             0.92505,             0.95854,             0.59717,            0.029657,           0.0064282,           0.0034943,           0.0089803,           0.0089803,           0.0089803
                 105,            0.034015,           0.0083889,            0.004091,             0.94144,             0.95096,             0.95858,             0.61396,            0.029549,           0.0064594,           0.0035506,           0.0089704,           0.0089704,           0.0089704
                 106,            0.033113,           0.0095304,           0.0040654,             0.97289,             0.92706,             0.95246,             0.60711,            0.028454,           0.0062598,           0.0033616,           0.0089605,           0.0089605,           0.0089605
                 107,            0.032144,           0.0086695,           0.0045822,             0.94152,             0.88211,              0.9371,             0.58555,            0.029483,            0.006282,           0.0033106,           0.0089506,           0.0089506,           0.0089506
                 108,            0.032643,            0.008694,           0.0042382,             0.90791,             0.86681,             0.91598,             0.55338,            0.031814,           0.0065399,             0.00302,           0.0089407,           0.0089407,           0.0089407
                 109,             0.03381,           0.0078889,           0.0036201,               0.969,             0.86936,             0.94532,             0.57318,            0.029145,           0.0066864,           0.0030704,           0.0089308,           0.0089308,           0.0089308
                 110,            0.033199,           0.0094043,           0.0048467,             0.97581,             0.86968,             0.93762,             0.57479,            0.029735,            0.006647,           0.0034953,           0.0089209,           0.0089209,           0.0089209
                 111,            0.033527,           0.0084454,           0.0036181,             0.95276,             0.90661,             0.94255,             0.60298,            0.028014,           0.0064526,           0.0029514,            0.008911,            0.008911,            0.008911
                 112,            0.032788,           0.0086196,           0.0037649,             0.97867,             0.93247,             0.96091,             0.64043,            0.028017,           0.0066345,           0.0025203,           0.0089011,           0.0089011,           0.0089011
                 113,            0.030455,           0.0088302,           0.0054411,             0.94436,             0.89084,             0.94548,             0.60454,            0.029013,           0.0066159,           0.0025005,           0.0088912,           0.0088912,           0.0088912
                 114,            0.033009,           0.0087663,            0.004949,             0.88588,             0.85879,             0.93175,             0.56796,            0.028508,           0.0069162,           0.0089788,           0.0088813,           0.0088813,           0.0088813
                 115,             0.03167,            0.008942,           0.0042738,             0.87706,              0.9358,             0.95399,             0.55419,            0.031325,           0.0061539,           0.0028048,           0.0088714,           0.0088714,           0.0088714
                 116,            0.032293,           0.0096129,            0.003946,             0.95236,             0.93967,             0.97168,             0.58386,             0.03256,            0.006008,           0.0032473,           0.0088615,           0.0088615,           0.0088615
                 117,            0.031994,           0.0088661,           0.0040441,             0.92601,             0.94391,             0.96404,             0.53668,            0.032338,           0.0060654,           0.0032862,           0.0088516,           0.0088516,           0.0088516
                 118,            0.032496,           0.0089248,           0.0041877,             0.94599,             0.93056,             0.98186,             0.53339,            0.033903,           0.0063892,           0.0027386,           0.0088417,           0.0088417,           0.0088417
